Datetime,Water Level (m)
2023-05-21 06:00:00,-0.09450166
2023-05-21 07:00:00,0.6046493
2023-05-21 08:00:00,1.187286
2023-05-21 09:00:00,1.5877087
2023-05-21 10:00:00,1.7302392
2023-05-21 11:00:00,1.5226942
2023-05-21 12:00:00,1.1021166
2023-05-21 13:00:00,0.61608773
2023-05-21 14:00:00,0.124648735
2023-05-21 15:00:00,-0.34353682
2023-05-21 16:00:00,-0.7603462
2023-05-21 17:00:00,-1.0016335
2023-05-21 18:00:00,-0.5485454
2023-05-21 19:00:00,0.086867884
2023-05-21 20:00:00,0.6667579
2023-05-21 21:00:00,1.0950389
2023-05-21 22:00:00,1.2852262
2023-05-21 23:00:00,1.1349419
2023-05-22 00:00:00,0.75231063
2023-05-22 01:00:00,0.30827397
2023-05-22 02:00:00,-0.13231967
2023-05-22 03:00:00,-0.571341
2023-05-22 04:00:00,-0.9417435
2023-05-22 05:00:00,-1.0715401
2023-05-22 06:00:00,-0.50942194
2023-05-22 07:00:00,0.2136514
2023-05-22 08:00:00,0.9034841
2023-05-22 09:00:00,1.4536626
2023-05-22 10:00:00,1.7814544
2023-05-22 11:00:00,1.7452104
2023-05-22 12:00:00,1.3839471
2023-05-22 13:00:00,0.9143975
2023-05-22 14:00:00,0.41686937
2023-05-22 15:00:00,-0.06350276
2023-05-22 16:00:00,-0.51831263
2023-05-22 17:00:00,-0.8774446
2023-05-22 18:00:00,-0.8678746
2023-05-22 19:00:00,-0.32928738
2023-05-22 20:00:00,0.26540455
2023-05-22 21:00:00,0.78298986
2023-05-22 22:00:00,1.136894
2023-05-22 23:00:00,1.2412628
2023-05-23 00:00:00,1.008091
2023-05-23 01:00:00,0.617207
2023-05-23 02:00:00,0.18068536
2023-05-23 03:00:00,-0.24807738
2023-05-23 04:00:00,-0.65437615
2023-05-23 05:00:00,-0.97829777
2023-05-23 06:00:00,-0.8302707
2023-05-23 07:00:00,-0.21590507
2023-05-23 08:00:00,0.47371674
2023-05-23 09:00:00,1.0797099
2023-05-23 10:00:00,1.5283893
2023-05-23 11:00:00,1.7273532
2023-05-23 12:00:00,1.5547543
2023-05-23 13:00:00,1.153095
2023-05-23 14:00:00,0.68560404
2023-05-23 15:00:00,0.20495072
2023-05-23 16:00:00,-0.24921824
2023-05-23 17:00:00,-0.65698475
2023-05-23 18:00:00,-0.93257797
2023-05-23 19:00:00,-0.6951755
2023-05-23 20:00:00,-0.14901212
2023-05-23 21:00:00,0.4015778
2023-05-23 22:00:00,0.84452486
2023-05-23 23:00:00,1.0588591
2023-05-24 00:00:00,1.038645
2023-05-24 01:00:00,0.73298615
2023-05-24 02:00:00,0.3450677
2023-05-24 03:00:00,-0.05511
2023-05-24 04:00:00,-0.4525755
2023-05-24 05:00:00,-0.78301823
2023-05-24 06:00:00,-0.9200479
2023-05-24 07:00:00,-0.49173063
2023-05-24 08:00:00,0.124126464
2023-05-24 09:00:00,0.7343735
2023-05-24 10:00:00,1.255718
2023-05-24 11:00:00,1.607181
2023-05-24 12:00:00,1.6679249
2023-05-24 13:00:00,1.3922079
2023-05-24 14:00:00,0.97567904
2023-05-24 15:00:00,0.5190242
2023-05-24 16:00:00,0.06982995
2023-05-24 17:00:00,-0.34364042
2023-05-24 18:00:00,-0.6801279
2023-05-24 19:00:00,-0.7967527
2023-05-24 20:00:00,-0.43500248
2023-05-24 21:00:00,0.063007526
2023-05-24 22:00:00,0.5309432
2023-05-24 23:00:00,0.9008583
2023-05-25 00:00:00,1.0871876
2023-05-25 01:00:00,1.0096283
2023-05-25 02:00:00,0.71392334
2023-05-25 03:00:00,0.34024692
2023-05-25 04:00:00,-0.037962753
2023-05-25 05:00:00,-0.40209806
2023-05-25 06:00:00,-0.68586224
2023-05-25 07:00:00,-0.73031
2023-05-25 08:00:00,-0.2882501
2023-05-25 09:00:00,0.28952554
2023-05-25 10:00:00,0.8377889
2023-05-25 11:00:00,1.2898887
2023-05-25 12:00:00,1.5593231
2023-05-25 13:00:00,1.5309877
2023-05-25 14:00:00,1.226851
2023-05-25 15:00:00,0.8169422
2023-05-25 16:00:00,0.37336946
2023-05-25 17:00:00,-0.045175087
2023-05-25 18:00:00,-0.43479398
2023-05-25 19:00:00,-0.7196043
2023-05-25 20:00:00,-0.7290146
2023-05-25 21:00:00,-0.3418217
2023-05-25 22:00:00,0.13910106
2023-05-25 23:00:00,0.5669046
2023-05-26 00:00:00,0.9005925
2023-05-26 01:00:00,1.0588537
2023-05-26 02:00:00,0.9731519
2023-05-26 03:00:00,0.6895915
2023-05-26 04:00:00,0.32646787
2023-05-26 05:00:00,-0.03701021
2023-05-26 06:00:00,-0.3682688
2023-05-26 07:00:00,-0.6262133
2023-05-26 08:00:00,-0.6316171
2023-05-26 09:00:00,-0.21784024
2023-05-26 10:00:00,0.3009656
2023-05-26 11:00:00,0.787705
2023-05-26 12:00:00,1.1677477
2023-05-26 13:00:00,1.3739666
2023-05-26 14:00:00,1.3041971
2023-05-26 15:00:00,1.0088682
2023-05-26 16:00:00,0.62693757
2023-05-26 17:00:00,0.22207777
2023-05-26 18:00:00,-0.15408513
2023-05-26 19:00:00,-0.5007485
2023-05-26 20:00:00,-0.7490552
2023-05-26 21:00:00,-0.77276933
2023-05-26 22:00:00,-0.4347171
2023-05-26 23:00:00,-0.0011129739
2023-05-27 00:00:00,0.434437
2023-05-27 01:00:00,0.79449576
2023-05-27 02:00:00,1.008359
2023-05-27 03:00:00,1.0073391
2023-05-27 04:00:00,0.7899039
2023-05-27 05:00:00,0.46552563
2023-05-27 06:00:00,0.121675074
